volledigeOmschrijving,soortWoning
"[ 0.2236609  -0.47795394  1.5572765   1.1249679   0.4903712  -0.09341113
  3.4813972   0.45286426 -2.1433268  -1.0290484 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[ 0.0457897  -0.3589627   1.9784546   1.0952399   0.65586513 -0.26597074
  3.8515947   0.30920908 -2.4258568  -1.0955489 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[ 0.4179528  -0.5852635   1.601026    1.089998    0.5014099  -0.1510171
  3.6998591   0.7054091  -2.1037893  -0.83841026]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.9312669  -1.1655257   1.3460497   1.2214496  -0.20889087  0.27485794
  3.5071433   0.9798362  -1.9184979  -1.2492518 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.16077954 -0.45430925  1.5896246   1.137001    0.43794912 -0.07924382
  3.5073836   0.43197048 -2.1963453  -1.0675863 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.11431564 -0.41445547  1.944211    0.98092884  0.66584116 -0.48023108
  3.43199     0.12840962 -2.3234959  -1.0290254 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.33848777 -0.57851404  2.0839531   1.251977    0.6445906  -0.21341145
  4.2447166   0.49438414 -2.4409251  -1.1469058 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.30397546 -0.50136286  1.8250829   1.1447427   0.5955407  -0.23364218
  3.9993436   0.61617225 -2.3872454  -0.9442042 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.19153519 -0.35730168  1.8269452   1.149632    0.6418076  -0.18563478
  3.794885    0.7180642  -2.431485   -1.0992231 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.05663411 -0.4415557   2.0510669   1.2758907   0.6324667  -0.31577733
  3.888743    0.20717081 -2.3996317  -1.1894034 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.09624422 -0.47962907  2.145941    1.6790476   0.6736141  -0.21332349
  4.5666094   0.3940019  -2.768957   -1.2703626 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.193019   -0.564416    1.8658154   1.243542    0.590486   -0.2259918
  3.9472382   0.49929753 -2.4812136  -1.0965126 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.17896113 -0.36809725  2.1335926   1.2464862   0.75296575 -0.3590256
  3.904624    0.02990646 -2.6488876  -1.219646  ]","[-0.03878943 -0.06787348  0.06716269 -0.0853338   0.1412032  -0.09697701
  0.05147123  0.27083394 -0.4423414  -0.27789843]"
"[ 0.21818681 -0.5417852   1.9736075   1.2325581   0.73665357 -0.25859356
  4.212792    0.56161445 -2.5384867  -0.9508971 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.16467467 -0.27799028  2.0195985   0.8550328   0.8477405  -0.4932027
  3.3290176  -0.01769874 -2.3609447  -1.0235966 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[ 0.20069772 -0.5707354   1.94382     1.4015158   0.5346612  -0.21821916
  4.3342104   0.50236654 -2.418187   -0.9753576 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.48164767 -0.30216005  1.2970902   1.1101574   0.47218806  0.25909233
  3.7061868   1.298112   -2.3866487  -0.9477135 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.07546981 -0.48175076  2.1173284   1.3937154   0.6161299  -0.37830558
  4.0157943   0.03946969 -2.417046   -1.2271998 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.05329807 -0.48704302  1.790241    0.7222642   0.69287914 -0.35552138
  3.222864    0.4522651  -2.3174     -0.99499744]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[-0.2446977  -0.2014532   2.006127    0.9081776   0.77701193 -0.37975714
  3.4770694   0.06463404 -2.4789999  -1.0624535 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[-0.22242004 -0.24395041  2.021335    0.9340248   0.77042836 -0.3910886
  3.5285995   0.0899691  -2.4910357  -1.0581098 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[ 0.03078271 -0.59503746  2.14575     1.4252524   0.59373987 -0.36132133
  4.229513    0.1377917  -2.5169728  -1.1326149 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.26720217 -0.38698003  2.083326    0.850635    0.7367044  -0.5354029
  3.4832973   0.02488855 -2.5296957  -1.0832319 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.17522795 -0.1962212   1.9361492   0.8411189   0.6892435  -0.43484095
  3.189677    0.18251023 -2.4146361  -1.1303923 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.18688148 -0.22979009  1.8341491   0.71251595  0.70989084 -0.45269868
  2.8676858   0.13576126 -2.272922   -1.1047757 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.05677711 -0.42041266  2.0092165   1.3545108   0.57271713 -0.35826614
  3.978257    0.17998472 -2.444853   -1.1032196 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.20352288 -0.43292415  1.9999753   1.3848474   0.6331861  -0.16992861
  4.3068237   0.44974774 -2.5226943  -1.021539  ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.09959518 -0.46241286  2.133245    1.3394567   0.64671266 -0.22513577
  4.282848    0.35403442 -2.5576832  -1.1389232 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.04885566 -0.53341985  2.3108053   1.4829606   0.72801083 -0.37371692
  4.4241652   0.15437639 -2.6415675  -1.2560128 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-3.1533574e-03 -4.1766343e-01  1.8206707e+00  1.0453141e+00
  6.4126939e-01 -3.1322348e-01  3.5779505e+00  3.4514615e-01
 -2.3248837e+00 -9.1586834e-01]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.37418696 -0.5198265   1.4407105   1.0209913   0.47794032 -0.0789191
  3.307693    0.731926   -2.0690992  -0.9474862 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[-0.22760485 -0.28529724  2.0551095   0.8926594   0.779374   -0.52185595
  3.3987346   0.08972632 -2.4403467  -1.0072085 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[ 0.19820148 -0.5779707   1.6784575   1.077637    0.5151826  -0.27218693
  3.468027    0.4726945  -2.163367   -1.0313569 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.01550469 -0.45277852  2.0767062   0.960212    0.7248265  -0.43054032
  3.4815567   0.12598921 -2.3822973  -1.1858113 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.22630827 -0.19085106  1.6129575   0.5741063   0.73441136 -0.3762787
  2.5540395   0.41300312 -2.272011   -1.0146301 ]","[-0.03346129 -0.04773197  0.17667654 -0.03313481  0.2280117  -0.0444337
  0.18407689  0.35137233 -0.56460416 -0.32930887]"
"[ 0.25493786 -0.43742436  1.9987477   1.5705839   0.63488245 -0.27951783
  4.7399597   0.5123079  -2.6745834  -0.91761047]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
"[-0.06734601 -0.3778236   1.956238    1.0255014   0.6866901  -0.3324642
  3.8628316   0.43673152 -2.542297   -0.9643447 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
