volledigeOmschrijving,soortWoning
"[ 0.06803676 -0.30661768  1.8607885   0.90924466  0.69059986 -0.2629866
  3.7493715   0.60783774 -2.52803    -0.8465973 ]","[ 0.0459221  -0.2948567   0.67495704  0.02387075  0.5433401  -0.36893287
  0.49179223  1.0630989  -1.7254823  -0.6850548 ]"
"[ 0.14669096 -0.52414554  1.7449799   1.1027042   0.5667969  -0.22292936
  3.628271    0.28229916 -2.289508   -1.0046327 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.05720821 -0.3215094   1.818509    0.92791957  0.7896603  -0.2098452
  3.8504763   0.8475365  -2.6047127  -0.9255983 ]","[-0.02353624 -0.03199091  0.13420671 -0.09938577  0.19096956 -0.04419796
  0.1448713   0.29160935 -0.46693444 -0.34187686]"
"[-0.12490255 -0.12419139  1.2609471   0.49472362  0.49231702 -0.2554813
  2.1383178   0.27507457 -1.6924746  -0.72709244]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[-0.12883615 -0.34725234  2.143425    1.3128142   0.6173336  -0.34554502
  4.1569366   0.08412505 -2.4806874  -1.0463176 ]","[ 0.20757641 -0.33520117  1.0630559  -0.20314023  0.6398775  -0.66037416
  1.0389912   1.4988724  -1.975292   -0.45575887]"
"[ 0.08135477 -0.5034001   1.9241829   1.3019491   0.5971526  -0.30368078
  4.0898943   0.3870702  -2.4977927  -0.95741063]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.14144374 -0.26321858  1.7550112   0.8654088   0.66055334 -0.38929972
  3.1988723   0.2675216  -2.3097463  -0.9850204 ]","[ 0.04319736 -0.35051674  1.498276    0.6532173   0.81815284 -0.40905178
  2.3035116   0.5774985  -1.8439919   0.33482394]"
"[-0.1268749  -0.2636337   1.9899929   1.0943925   0.7294688  -0.40440065
  3.6737077   0.11092623 -2.4892843  -1.0326077 ]","[ 0.03748982 -0.4734023   2.1455238   0.82743716  1.1932486  -0.57133687
  3.2202253   0.8515933  -2.588763    0.3931795 ]"
"[-0.15088747 -0.36141574  2.0288432   0.92244035  0.71506685 -0.46838295
  3.4622579   0.04679434 -2.422768   -1.0479732 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.05761383 -0.45560336  2.251924    1.1580496   0.8056464  -0.42548645
  4.183504    0.22416207 -2.801644   -1.1779956 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.05761383 -0.45560336  2.251924    1.1580496   0.8056464  -0.42548645
  4.183504    0.22416207 -2.801644   -1.1779956 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.30039564 -0.2181484   2.0425932   0.6965805   0.8370578  -0.54463327
  3.1449435   0.0724358  -2.4504213  -0.9918187 ]","[ 0.10059598 -0.19738708  1.5339161   0.30239227  0.933753   -0.20697208
  2.256852    0.43419102 -1.3755985   0.2202996 ]"
"[-0.22079176 -0.34522277  2.1678317   0.86347747  0.891564   -0.5068073
  3.4462552   0.16920163 -2.6523683  -1.264202  ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.27570164 -0.6019105   1.9708467   1.4608951   0.5612773  -0.1615108
  4.4035873   0.47324532 -2.4600627  -1.0037502 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[-0.00987714 -0.5510838   2.1814482   1.120865    0.77616036 -0.4676738
  4.0370994   0.27385336 -2.724193   -1.1061006 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.01597551 -0.42249587  2.2181818   0.9901976   0.8159588  -0.42796004
  3.9239228   0.18977219 -2.7530172  -1.2018906 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.12050699 -0.5229186   2.160417    1.6008756   0.6465106  -0.30281362
  4.4950743   0.1387039  -2.6822863  -1.2030617 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.10075524 -0.36086568  2.151225    1.1477112   0.7861511  -0.50157535
  3.9784584   0.22864245 -2.5706954  -1.0063859 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.07499595 -0.47351316  1.9605651   1.2635393   0.6561703  -0.40804255
  3.947983    0.42695695 -2.5169125  -1.0365317 ]","[ 0.0477268  -0.3437696   1.6348232   0.6112435   0.89094055 -0.4156024
  2.4278975   0.6480926  -1.9668169   0.26924452]"
"[-0.22711276 -0.27773595  1.7936022   0.57527006  0.7388967  -0.4959395
  2.8155472   0.24107364 -2.2279751  -1.0049446 ]","[ 0.04319736 -0.35051674  1.498276    0.6532173   0.81815284 -0.40905178
  2.3035116   0.5774985  -1.8439919   0.33482394]"
"[ 8.3355062e-02 -4.5027602e-01  2.2687624e+00  1.5893412e+00
  6.7267501e-01 -3.3179688e-01  4.3757906e+00  4.5724949e-04
 -2.6407855e+00 -1.3093823e+00]","[ 0.43635392 -0.65829664  1.2989486  -0.22236998  0.60749024 -0.8082232
  1.018103    1.651968   -2.2832012  -0.39869845]"
"[ 0.13255285 -0.6536353   2.2342434   1.5230656   0.61688083 -0.3760824
  4.439285    0.3892559  -2.5925984  -1.2229452 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.1032469  -0.36560524  1.8850471   0.79555225  0.754151   -0.46242374
  3.3169193   0.17833759 -2.3180978  -0.93248653]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.3749977  -0.7045313   1.7617499   1.2140614   0.48859155 -0.1961288
  3.9546592   0.63050985 -2.2387168  -1.0385054 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.2858984  -0.58742905  2.0745525   1.4300097   0.60859615 -0.19465472
  4.495979    0.46854374 -2.4498148  -0.9346661 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.31542894 -0.70825195  1.8103157   1.2671741   0.5773453  -0.21635273
  4.3401823   0.6889073  -2.4540064  -0.8581282 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.1085825  -0.5958753   2.3838472   1.4613125   0.6605415  -0.5253352
  4.382568    0.02744283 -2.624582   -1.2395881 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.15595357 -0.3840946   1.8513166   1.0460088   0.6988926  -0.16737619
  3.8129518   0.47943312 -2.3946774  -1.005354  ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.06025078 -0.4022539   1.9324168   1.3800931   0.6806892  -0.16590625
  4.481227    0.65966636 -2.6368153  -0.82425755]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.31218222 -0.54524696  1.9526957   1.2895685   0.7017566  -0.2041822
  4.5458136   0.6913144  -2.6497908  -0.8845424 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.26390108 -0.70281607  1.9938378   1.5637425   0.53987116 -0.20199598
  4.560837    0.42029926 -2.5976338  -1.0777804 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.00688826 -0.43549505  2.0616279   1.1920211   0.70106137 -0.34251815
  4.0945935   0.44100407 -2.5386117  -0.98300934]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.16330118 -0.49343005  1.8369162   1.2638427   0.5576958  -0.2145676
  3.9000688   0.55802464 -2.5028067  -1.1016972 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.31621015 -0.12173495  1.8968261   0.77711654  0.7951663  -0.40314046
  3.153511    0.03722788 -2.419203   -0.9872909 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[ 0.02619856 -0.6369687   2.495114    1.5691658   0.68493754 -0.50157624
  4.4525137  -0.09758647 -2.6209567  -1.4176139 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.051723   -0.20918246  1.7165303   0.88060105  0.65825665 -0.21380243
  3.4003687   0.38990408 -2.2999725  -0.8563001 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[ 0.18503597 -0.4993746   1.8653158   1.3217493   0.5278273  -0.16687256
  3.9377868   0.3033154  -2.3071907  -1.1006984 ]","[-0.02273987 -0.05700121  0.24822062  0.10422705  0.16655417 -0.00453332
  0.2210789   0.24636063 -0.39721322 -0.23377459]"
"[-0.01934084 -0.30801994  2.1493943   1.2603699   0.7114714  -0.3291682
  4.0944023   0.14672785 -2.5338793  -1.0880408 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.47607943 -0.250028    1.3128695   0.764137    0.57204765  0.09927846
  3.1891658   0.8908903  -2.1384687  -0.8053088 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[ 0.16901103 -0.5599164   1.8291788   1.1185577   0.5744092  -0.3308566
  3.6226063   0.39440802 -2.3018053  -1.0647278 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.22157942 -0.24630786  1.9696506   0.8767143   0.832873   -0.44510585
  3.2835042  -0.03839631 -2.365891   -1.0546099 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[ 0.11653378 -0.6171437   2.2316272   1.5878149   0.5948527  -0.30128875
  4.664524    0.23842305 -2.5696738  -1.0003855 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.6052986  -0.7082303   1.4659997   1.0213635   0.46221173  0.02126431
  3.602913    1.128111   -2.3134482  -1.1260911 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.1965254  -0.5869536   1.6723245   1.1068212   0.4790243  -0.22215885
  3.5622723   0.56319445 -2.2497973  -1.0421941 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.06180152 -0.36443853  2.191083    1.1917766   0.75674444 -0.4355318
  4.071126    0.15577519 -2.5230985  -1.0430362 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.06014585 -0.4291468   1.8674948   0.89051646  0.72837406 -0.36490718
  3.5906422   0.39623195 -2.3658159  -0.8423724 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.59555084 -0.4350496   1.4093674   1.1228224   0.45958766  0.1942554
  3.5324388   1.099501   -2.1164267  -1.0172646 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.23759507 -0.34638327  2.1782103   0.887449    0.77834815 -0.52416295
  3.517589    0.07025981 -2.4044662  -1.0164149 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.35824525 -0.6538159   1.6326567   0.999849    0.4732982  -0.07596544
  3.6639946   0.6169653  -2.1596496  -0.9627704 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.23985672 -0.45383033  1.503708    0.9444992   0.5520484  -0.1396291
  3.356985    0.7260183  -2.1143045  -0.85174704]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.0188568  -0.30797693  2.160881    1.2270054   0.6817582  -0.27302113
  4.3044906   0.34245738 -2.6896677  -1.0098118 ]","[ 0.06606735 -0.44821185  0.8522834  -0.01516663  0.5668996  -0.37988356
  0.987666    1.1288278  -2.0658941  -0.4501981 ]"
"[-0.19516252 -0.2122996   1.8290617   0.79679585  0.7711181  -0.4110582
  3.2913225   0.4272114  -2.429191   -0.92842627]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.1955846  -0.21277611  1.8301107   0.79767823  0.7711362  -0.4110407
  3.2914135   0.42610902 -2.4277236  -0.92871064]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[-0.00593757 -0.4160633   2.1171837   1.3241267   0.5936441  -0.35207283
  3.9286125   0.20481287 -2.4724827  -1.1938891 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.04642143 -0.19352806  1.7538682   0.81068397  0.7507056  -0.3121874
  3.198037    0.47724524 -2.353053   -0.93530357]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.17840765 -0.39823216  1.6732479   1.1309911   0.5711791  -0.12086085
  3.7009091   0.543177   -2.2750409  -0.88236815]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.15885156 -0.40181     1.6947607   0.85320896  0.5735669  -0.28433582
  3.32707     0.45781547 -2.2265086  -1.0218227 ]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[ 0.38317642 -0.542125    1.7128129   1.1779585   0.45200595 -0.01437321
  3.9967453   0.5596458  -2.2014623  -0.91437036]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.07011775 -0.47506082  2.2397766   1.0912629   0.73437464 -0.5079079
  3.8374698   0.05582766 -2.4376042  -1.1032735 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.20020305 -0.5895034   2.3530993   1.768455    0.63093174 -0.34067512
  4.7779903   0.12794937 -2.6942654  -1.3210868 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.22174901 -0.44655195  1.7791932   1.3056858   0.59801364 -0.10594627
  4.0494356   0.3473664  -2.479633   -1.0860815 ]","[-0.00538935 -0.01741703  0.07783855 -0.06781498  0.15544364 -0.08565056
  0.07289755  0.23928662 -0.47723898 -0.29011762]"
"[-0.0177884  -0.17585592  1.8885597   0.9854556   0.6945238  -0.2956631
  3.7767303   0.7072972  -2.753904   -1.1251334 ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.36317056 -0.33901328  2.2854478   1.4509223   0.6434487  -0.4421699
  4.1063137  -0.10636093 -2.5606046  -1.1775815 ]","[-0.07749262 -0.08662447  0.9837723  -0.06405678  0.9876338  -0.6021377
  1.1683023   1.9036317  -2.5826633  -1.0217075 ]"
"[ 0.3510903  -0.56296617  1.4701928   0.95630455  0.5600652  -0.06173702
  3.5389879   0.8797294  -2.2053347  -0.84869105]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.18446232 -0.15946469  1.9447238   1.1095649   0.7106739  -0.34369862
  3.673091    0.19230077 -2.4053671  -0.95998085]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[-0.284712    0.25719902  1.514534    0.02536933  1.177137   -0.5933019
  3.0137353   2.4660838  -3.7965157  -1.2991778 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.02592246 -0.38789022  1.9634379   1.1465957   0.7076111  -0.38953167
  3.9169016   0.3386387  -2.5248811  -1.0334296 ]","[-0.03878943 -0.06787348  0.06716269 -0.0853338   0.1412032  -0.09697701
  0.05147123  0.27083394 -0.4423414  -0.27789843]"
"[ 0.23444442 -0.5543242   1.4789935   1.0318379   0.45482007 -0.10476471
  3.4917328   0.7035142  -2.3477507  -0.9990813 ]","[ 0.2937674  -0.41151538  1.4772766   0.00223454  0.737306   -0.49580127
  1.8135922   0.77215695 -1.4727335   0.10568364]"
"[-0.12497289 -0.49397448  2.0109956   0.49061126  0.94236857 -0.84518087
  3.2241518   0.33925012 -2.2863214  -0.79543376]","[-0.02883679 -0.01913583  0.08158312 -0.04830962  0.04686664 -0.00853512
  0.12267     0.06347736 -0.1347297  -0.10751361]"
"[-0.31928033 -0.15812127  1.9340776   0.7529232   0.8140749  -0.43795776
  3.1201656   0.02991501 -2.4094558  -1.0135405 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[-0.284712    0.25719902  1.514534    0.02536933  1.177137   -0.5933019
  3.0137353   2.4660838  -3.7965157  -1.2991778 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.01093002  0.02485782  0.15307218  0.10042553 -0.00835679  0.05713421
  0.12110322 -0.06190487 -0.08021249 -0.0039078 ]"
"[-0.19222428 -0.4382747   2.1390884   0.81443065  0.87158144 -0.5461292
  3.726141    0.2586257  -2.6708982  -1.0954999 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.19714506 -0.33902863  2.0433097   0.8345407   0.76664084 -0.4905264
  3.4153607   0.12312919 -2.5304973  -1.1209042 ]","[-0.00417604 -0.02021421  0.03395922 -0.06808163  0.22539419 -0.01441918
  0.09353963  0.36905777 -0.4736696  -0.32925284]"
"[-0.11200675 -0.36090308  2.1027348   1.4847897   0.6559577  -0.35503492
  4.258777    0.12600198 -2.6124868  -1.1449981 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[-0.08038962 -0.43318254  1.9927434   1.3476603   0.66473264 -0.36399803
  4.014304    0.29957545 -2.5902457  -1.1509751 ]","[ 0.42614022 -0.61138916  2.3692272   0.08438683  1.1840471  -0.75029236
  2.984749    1.1881474  -2.3046587   0.23066908]"
"[ 0.2336815  -0.2653399   1.866461    1.2892773   0.65877175 -0.09315619
  4.1440325   0.72206473 -2.7419512  -1.1053587 ]","[-0.03346129 -0.04773197  0.17667654 -0.03313481  0.2280117  -0.0444337
  0.18407689  0.35137233 -0.56460416 -0.32930887]"
"[-1.5592767e-01 -3.8347167e-01  2.1017008e+00  1.0002482e+00
  6.4084244e-01 -5.0940388e-01  3.4522820e+00 -2.0292494e-03
 -2.3073373e+00 -1.0642251e+00]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.02123564 -0.30922216  2.1583216   1.2335792   0.6749133  -0.2780699
  4.27857     0.32127592 -2.6766453  -1.0208548 ]","[ 0.06606735 -0.44821185  0.8522834  -0.01516663  0.5668996  -0.37988356
  0.987666    1.1288278  -2.0658941  -0.4501981 ]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.03339614 -0.09728422  0.02919291 -0.00017094 -0.00706282 -0.10961994
 -0.04413243  0.08528382 -0.15268768 -0.13095367]"
"[ 0.18259919 -0.331213    1.7286147   0.9576145   0.688512   -0.18820257
  3.5594773   0.6272907  -2.3815994  -0.94745606]","[-0.07749262 -0.08662447  0.9837723  -0.06405678  0.9876338  -0.6021377
  1.1683023   1.9036317  -2.5826633  -1.0217075 ]"
"[ 0.1878468  -0.53877056  1.5487087   1.1911293   0.43342212 -0.04437578
  3.7731125   0.5341837  -2.2201378  -0.88545686]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.3445031  -0.24869306  2.0872576   1.3483665   0.6381467  -0.35871857
  3.8848078  -0.07107758 -2.5248058  -1.0599611 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[ 0.20630221 -0.7465285   2.1219409   1.5334952   0.56984866 -0.3459684
  4.570543    0.28485465 -2.543839   -1.0113188 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[ 0.06544805 -0.43256718  1.8268907   1.0833032   0.62479144 -0.3237559
  3.8784366   0.40034455 -2.385039   -0.78376484]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[-0.284712    0.25719902  1.514534    0.02536933  1.177137   -0.5933019
  3.0137353   2.4660838  -3.7965157  -1.2991778 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-5.0732601e-06 -4.6739081e-01  1.9235331e+00  1.3255146e+00
  5.8210438e-01 -2.3435432e-01  4.0964823e+00  3.9196482e-01
 -2.5651038e+00 -1.0689948e+00]","[ 0.05436179 -0.14146402  1.3054105   0.29022068  0.7794404  -0.18232617
  1.8844626   0.40231186 -1.2193253   0.15541787]"
"[-0.27941254 -0.25112036  1.8084254   0.7555459   0.63063884 -0.39426368
  3.1210093   0.14587544 -2.2447436  -0.8504073 ]","[ 0.03442356 -0.4968094   2.0546138   0.84249234  1.1357318  -0.5620651
  3.1409285   0.7843309  -2.5406876   0.38346455]"
"[ 0.07696328 -0.34188786  1.8506414   1.0412459   0.7021342  -0.15812956
  3.699468    0.52214605 -2.5311203  -1.0590616 ]","[-0.00288976 -0.02551908  0.16328096 -0.02827487  0.09246991 -0.00406185
  0.14266773  0.12683468 -0.20187378 -0.25891054]"
"[ 0.2863424  -0.5040187   1.6985373   1.1557472   0.55362993 -0.16205019
  3.905555    0.48877367 -2.2739136  -0.8806473 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.196861   -0.26834643  2.1217716   0.93666315  0.7930569  -0.46970966
  3.518134    0.03231023 -2.4925468  -1.1732746 ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[-0.09690594 -0.26390207  2.475642    1.2391787   0.82003665 -0.4271636
  4.260526    0.10579892 -2.7597904  -1.3642375 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.18304543 -0.31130925  2.0607758   1.0116576   0.71969354 -0.5098947
  3.3397005  -0.14779949 -2.3265066  -1.1554453 ]","[ 0.05436644 -0.6103907   2.221619    0.7702313   1.2050194  -0.6452738
  3.4475443   0.9206371  -2.8049533   0.4308493 ]"
"[ 0.27207294 -0.58873045  1.4960908   0.9634154   0.4772582  -0.10399064
  3.3522575   0.75909764 -2.1481307  -0.9784194 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[ 0.45963436 -0.78999805  1.1954033   1.0471567   0.33226043  0.06968304
  3.2795475   0.75065154 -2.0903194  -1.0069313 ]","[ 0.03442356 -0.4968094   2.0546138   0.84249234  1.1357318  -0.5620651
  3.1409285   0.7843309  -2.5406876   0.38346455]"
"[ 0.31695467 -0.6204313   2.0630574   1.5006708   0.6004274  -0.23173408
  4.639867    0.61243194 -2.5441768  -1.0296847 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.23349296 -0.320711    2.1458583   0.99284256  0.8024171  -0.51857615
  3.4055316  -0.11468814 -2.4658463  -1.1597563 ]","[ 0.03411436 -0.34205103  1.6167855   0.6341111   0.90554875 -0.4387551
  2.4257057   0.6695059  -1.9815164   0.28734756]"
